X,Y,latitude,longitude,code_aiot,nom_ets,num_dep,adresse,cd_insee,cd_postal,commune,code_naf,lib_naf,num_siret,cd_regime,lib_regime,seveso,lib_seveso,Inspection,Situation administrative,Textes public disponibles,icon_url
2.25815903500487,48.898572581635,"48.898572581635015","2.2581590350048697","3013575",Antargaz Distributeur 54,"92","Immeuble Reflex - Les Renardières - 4, Place Victor Hugo","92026","92400",COURBEVOIE,,,,AUTRE,Autres régimes,,,"['Service inspection : DREAL Grand Est', 'Dernière inspection : 02/03/2020', []]",[],[],./0.png
2.25815903500487,48.898572581635,"48.898572581635015","2.2581590350048697","3013576",Antargaz Distributeur-55,"92","Immeuble Reflex - Les Renardières - 4, Place Victor Hugo","92026","92400",COURBEVOIE,,,,AUTRE,Autres régimes,,,"['Service inspection : DREAL Grand Est', 'Dernière inspection : 04/08/2021', []]",[],[],./0.png
2.25815903500487,48.898572581635,"48.898572581635015","2.2581590350048697","3013577",Antargaz Distribution-57,"92","Immeuble Reflex - Les Renardières - 4, Place Victor Hugo","92026","92400",COURBEVOIE,,,,AUTRE,Autres régimes,,,"['Service inspection : DREAL Grand Est', 'Dernière inspection : 04/08/2021', []]",[],[],./0.png
2.23741139300724,48.880914210675,"48.88091421067499","2.237411393007245","3013584",Vitogaz Distributeur-57,"92","Tour Franklin - 100, Terrasse Boieldieu","92062","92800",PUTEAUX,,,,AUTRE,Autres régimes,,,"['Service inspection : DREAL Grand Est', 'Dernière inspection : 11/02/2020', []]",[],[],./0.png
2.29619421517966,48.9324542588823,"48.932454258882295","2.29619421517966","3801989",JCB BM92,"92",Les Horillons - 16 bis rue de Martincourt,"92036","60112",CRILLON,"45.0",Commerce et réparation d'automobiles et de motocycles,"3,27E+13",AUTRE,Autres régimes,,,"['Service inspection : Non renseigné', 'Dernière inspection : Non renseigné', []]",[],[],./0.png
2.26935982456373,48.9324465449944,"48.93244654499445","2.2693598245637285","6501640",CEP CENTRE ETUDES PHYSIOLOGIE,"92",87 Avenue de l'Epinette - BP 560,"92025","77040",Meaux,,,"5,82E+13",AUTRE,Autres régimes,,,"['Service inspection : DRIEAT IdF', 'Dernière inspection : 19/04/2023', []]",[],[],./0.png
2.20041442698099,48.9175094815764,"48.91750948157642","2.200414426980994","6503195",TAIS (ex TRANSORDURES),"78",3 Rue de la Rivière,"78124","78420",CARRIERES SUR SEINE,,,,AUTRE,Autres régimes,,,"['Service inspection : DRIEAT IdF', 'Dernière inspection : 09/11/2021', []]",[],[],./0.png
2.24611270771865,48.9533279850428,"48.95332798504276","2.2461127077186487","6505334",Société JR,"95","6, Boulevard Vercingetorix","95018","95100",Argenteuil,"25.0","Fabrication de produits métalliques, Ã  lâexception des machines et des équipements","3,44E+13",AUTRE,Autres régimes,,,"['Service inspection : DRIEAT IdF', 'Dernière inspection : 16/06/2023', ['https://georisques.gouv.fr/webappReport/ws/installations/inspection/r3zmb3HhMntF3WvrWMvWoCas4ZON6o6B', 'https://georisques.gouv.fr/webappReport/ws/installations/inspection/JN4PDa8psDRlbBR6yoz9tyxn2xnRn31Y']]",[],[],./0.png
2.22383598343093,48.9335812533142,"48.93358125331415","2.223835983430929","6505338",MICROSURFACES,"95",2 bis rue de la procession,"95018","95100",Argenteuil,,,"6,98E+13",AUTRE,Autres régimes,,,"['Service inspection : DRIEAT IdF', 'Dernière inspection : 26/08/2010', []]",[],[],./0.png
2.25852281005852,48.9496463763452,"48.949646376345186","2.258522810058521","6505344",NOUVELLE CLINIQUE D'ARGENTEUIL,"95","5, avenue de Stalingrad","95018","95100",Argenteuil,,,"3,31E+13",A,Autorisation,"3.0",Non Seveso,"['Service inspection : Non renseigné', 'Dernière inspection : Non renseigné', []]",[],"[['1986-04-21', 'ArrÃªté de mise en demeure', ""ArrÃªté de mise en demeure concernant NOUVELLE CLINIQUE D'ARGENTEUIL daté du 21/04/1986"", 'https://georisques.gouv.fr/webappReport/ws/installations/document/8acb34ef3446fba0013447849de70156']]",./0.png
2.25864480056245,48.9631183197331,"48.96311831973309","2.2586448005624478","6505347",CUINICK CHROME,"95","91, rue d'Eaubonne","95018","95100",ARGENTEUIL,,,,E,Enregistrement,"3.0",Non Seveso,"['Service inspection : DRIEAT IdF', 'Dernière inspection : 25/05/2022', ['https://georisques.gouv.fr/webappReport/ws/installations/inspection/TZRLlbBR1RqfcdIlGancUAeilALPFTal']]",[],"[['2009-11-24', 'ArrÃªté préfectoral', 'AP complémentaire (Art. R. 512-31)', 'https://georisques.gouv.fr/webappReport/ws/installations/document/6e9aa2363be34a779eb61999593fcd9a'], ['1982-02-08', 'ArrÃªté préfectoral', 'AP complémentaire (Art. R. 512-31)', 'https://georisques.gouv.fr/webappReport/ws/installations/document/a80e6cac898a4565a14fa0cdf4b1c4d3']]",./0.png
2.24843366341195,48.9505188075816,"48.950518807581574","2.2484336634119475","6505348",DEJUST,"95",75 RUE DE L'OUEST,"95018","95100",ARGENTEUIL,,,"5,58E+13",A,Autorisation,"3.0",Non Seveso,"['Service inspection : Non renseigné', 'Dernière inspection : Non renseigné', []]","[['2567', '1.a', 'Supérieur Ã  1000 l', 'Autorisation', '0.000 '], ['2575', '', 'Emploi de matières abrasives', 'Déclaration', '0.000 kW'], ['2940', '2.a', 'Vernis, peinture, colle, ... (application, cuisson, séchage)', 'Enregistrement', '0.000 ']]","[['1985-07-29', 'ArrÃªté préfectoral', 'AP complémentaire (Art. R. 512-31)', 'https://georisques.gouv.fr/webappReport/ws/installations/document/2dcb7a74a63a43e2a341cf8d6186864a']]",./0.png
